ImageNumber,ObjectNumber,MeanAlignedAlexa,MeanAlignedCascade,MeanAlignedFAM,MeanAlignedTAMRA,Number_Object_Number
1,1,0.258833329,0.2382707959,0.3510685259,0.5647059012,1
1,2,0.3736474468,0.2494460384,0.2514601248,0.4931030043,2
1,3,0.2720762149,0.1715894911,0.3671116766,0.5583136517,3
1,4,0.3494860974,0.1057462058,0.2897943318,0.4999832755,4
1,5,0.3427937061,0.1333400409,0.2393480877,0.461840134,5
1,6,0.2411585055,0.248027541,0.3083050349,0.4894556325,6
1,7,0.3102850221,0.2031414765,0.2694612229,0.5162153012,7
1,8,0.1575143269,0.03019043106,0.4193758684,0.3389655533,8
1,9,0.4435331274,0.1314203293,0.2739306439,0.5173818668,9
1,10,0.4518671275,0.2197140059,0.2707797419,0.5410786568,10
1,11,0.3226824154,0.03519852496,0.299284166,0.3558912536,11
1,12,0.4311684892,0.1528895488,0.2926793365,0.5456463394,12
1,13,0.2374576081,0.08236924082,0.4032391243,0.5478013935,13
1,14,0.2957414308,0.02939542577,0.2704718211,0.3494403677,14
1,15,0.3724451723,0.3051927639,0.2635260955,0.5524904638,15
1,16,0.3998908224,0.03080842643,0.3017765421,0.3619717111,16
1,17,0.5437189134,0.05582778844,0.2784577639,0.4033819113,17
1,18,0.4011122026,0.1940105246,0.2578557828,0.5420094304,18
1,19,0.3977903931,0.29940205,0.2398925116,0.4458016673,19
1,20,0.3661183725,0.2008094454,0.2624184572,0.4724996776,20
1,21,0.4690083481,0.1897314535,0.2462841796,0.4850779227,21
1,22,0.2010413656,0.02866323199,0.3555312362,0.3137611008,22
1,23,0.1553703082,0.02775646245,0.3563861301,0.3313458739,23
1,24,0.4133462443,0.0493382612,0.2856606728,0.3729791098,24
1,25,0.4768583616,0.2693769947,0.2681557507,0.5225300482,25
1,26,0.1648993272,0.1064900329,0.3642349906,0.5453735638,26
1,27,0.167817841,0.1661296115,0.4099890855,0.558189887,27
1,28,0.1412232994,0.2558179768,0.3185542953,0.4609057788,28
1,29,0.2633434455,0.02792144323,0.2418963788,0.2929036113,29
1,30,0.2832803969,0.139730533,0.2817888122,0.4529411897,30
1,31,0.3284027747,0.221475015,0.247660415,0.4657894417,31
1,32,0.1842531086,0.3027509602,0.3712216323,0.5433504927,32
1,33,0.3938169206,0.2200268713,0.2909900234,0.5478788428,33
1,34,0.4505003765,0.1524957327,0.2754088432,0.5504902143,34
1,35,0.4477989131,0.2636319251,0.2654544754,0.5446280642,35
1,36,0.8895307087,0.02901814639,0.2442827787,0.3791881531,36
1,37,0.4822548551,0.3358471676,0.2673386626,0.5482985872,37
1,38,0.3783597295,0.2794659482,0.2442417319,0.465233665,38
1,39,0.5007841538,0.03012004719,0.2495885332,0.3375159952,39
1,40,0.2838424117,0.1923935487,0.3353818616,0.5381628791,40
1,41,0.4817727471,0.3811214388,0.2631923015,0.550017218,41
1,42,0.2421556457,0.3377493901,0.350363525,0.5540060404,42
1,43,0.3650819563,0.2648555689,0.2608011595,0.5009560857,43
1,44,0.2943672607,0.2509323277,0.3062059228,0.5202133829,44
1,45,0.4617935393,0.2885137402,0.2630968154,0.5227331957,45
1,46,0.3333999801,0.2968579076,0.2644898195,0.5281496914,46
1,47,0.5053834474,0.2916641091,0.2669972355,0.5410225001,47
